Rang Global AUC,Variables Supprimées,Noyau,C,Degré (si poly),AUC (Moyen),Accuracy (Moyenne),F1 (Moyen)
1,Aucune,linear,2.0236,-,0.8925000000000001,0.8299999999999998,0.8350383642857784
2,Aucune,linear,104.8113,-,0.8924999999999998,0.8324999999999999,0.8378496092656981
2,Aucune,linear,184.207,-,0.8924999999999998,0.8324999999999999,0.8378496092656981
2,Aucune,linear,323.7458,-,0.8924999999999998,0.8324999999999999,0.8378496092656981
2,Aucune,linear,25.5955,-,0.8924999999999998,0.8324999999999999,0.8378496092656981
2,Aucune,linear,1000.0,-,0.8924999999999998,0.8324999999999999,0.8378496092656981
2,Aucune,linear,754.312,-,0.8924999999999998,0.8324999999999999,0.8378496092656981
2,Aucune,linear,568.9866,-,0.8924999999999998,0.8324999999999999,0.8378496092656981
2,Aucune,linear,79.0604,-,0.8924999999999998,0.8324999999999999,0.8378496092656981
2,Aucune,linear,33.9322,-,0.8924999999999998,0.8324999999999999,0.8378496092656981
2,Aucune,linear,59.6362,-,0.8924999999999998,0.8324999999999999,0.8378496092656981
2,Aucune,linear,19.307,-,0.8924999999999998,0.8324999999999999,0.8378496092656981
13,Aucune,linear,44.9843,-,0.892375,0.8324999999999999,0.8378496092656981
13,Aucune,linear,3.5565,-,0.892375,0.8299999999999998,0.8350383642857784
13,Aucune,linear,6.2506,-,0.892375,0.8299999999999998,0.8350383642857784
13,Aucune,linear,14.5635,-,0.892375,0.8324999999999999,0.8378496092656981
13,Aucune,linear,244.2053,-,0.892375,0.8324999999999999,0.8378496092656981
13,Aucune,linear,429.1934,-,0.892375,0.8324999999999999,0.8378496092656981
19,Aucune,linear,138.9495,-,0.89225,0.8324999999999999,0.8378496092656981
19,Aucune,linear,2.6827,-,0.89225,0.8299999999999998,0.8350383642857784
19,Aucune,linear,8.2864,-,0.89225,0.8299999999999998,0.8350383642857784
22,Aucune,linear,10.9854,-,0.8921250000000001,0.8299999999999998,0.8350383642857784
23,Aucune,linear,4.7149,-,0.891875,0.8299999999999998,0.8350383642857784
23,Aucune,linear,1.5264,-,0.891875,0.8299999999999998,0.8350383642857784
25,Aucune,linear,0.8685,-,0.8915000000000001,0.8275,0.8330215575630893
26,Aucune,linear,1.1514,-,0.8911250000000001,0.8275,0.8330215575630893
27,Aucune,linear,0.6551,-,0.8905,0.8275,0.8330215575630893
28,Aucune,linear,0.2812,-,0.890375,0.8225,0.8274554192652783
29,Aucune,linear,0.3728,-,0.8903749999999999,0.8225,0.8274554192652783
30,Aucune,linear,0.0018,-,0.89025,0.7625,0.7999468085106382
30,Aucune,linear,0.4942,-,0.89025,0.8275,0.8330215575630893
32,Aucune,linear,0.0168,-,0.8901249999999999,0.8225000000000001,0.8317747155583731
32,Aucune,linear,0.091,-,0.8901249999999999,0.825,0.8303522149600582
34,Aucune,linear,0.0518,-,0.889875,0.8275,0.8349771127963381
34,Aucune,linear,0.2121,-,0.889875,0.825,0.830266664245198
36,Aucune,linear,0.1207,-,0.889625,0.825,0.8303522149600582
37,Aucune,linear,0.0023,-,0.8895,0.79,0.8164962100319901
38,Aucune,linear,0.0013,-,0.8893749999999999,0.735,0.7865362930149526
39,Aucune,linear,0.0222,-,0.88925,0.8225,0.8309995217599235
39,Aucune,linear,0.0687,-,0.88925,0.8300000000000001,0.8359449562957714
41,Aucune,linear,0.001,-,0.8891249999999999,0.7125000000000001,0.7749381905690566
42,Aucune,linear,0.16,-,0.888875,0.825,0.830266664245198
43,Aucune,linear,0.0295,-,0.8887499999999999,0.8300000000000001,0.8376036517840262
44,Aucune,linear,0.0391,-,0.888625,0.8275,0.8349771127963381
44,Aucune,linear,0.0126,-,0.888625,0.8099999999999999,0.8200068556390395
46,Aucune,cosinus,0.0391,-,0.8885,0.8275,0.8343362710938035
47,Aucune,cosinus,0.0518,-,0.8883749999999999,0.8275,0.8332197672443016
48,Aucune,linear,0.0072,-,0.8881250000000002,0.8099999999999999,0.8222188664049129
48,Aucune,cosinus,0.0295,-,0.8881250000000002,0.8275,0.8345871290038203
50,Aucune,linear,0.0095,-,0.8880000000000001,0.8175000000000001,0.8294194999554028
51,Aucune,cosinus,0.091,-,0.8876250000000001,0.8275,0.8335418328365728
51,Aucune,cosinus,0.1207,-,0.8876250000000001,0.8324999999999999,0.8372834085691829
53,Aucune,linear,0.0054,-,0.8876249999999999,0.8075000000000001,0.8231635405033769
54,Aucune,linear,0.0031,-,0.8873749999999999,0.7950000000000002,0.8179566750353267
54,Aucune,cosinus,0.16,-,0.8873749999999999,0.8225,0.8276354218617389
56,Aucune,rbf,0.2121,-,0.8872500000000001,0.805,0.8106757653921921
57,Aucune,cosinus,0.0013,-,0.8871249999999999,0.8174999999999999,0.8282261741906065
57,Aucune,cosinus,0.001,-,0.8871249999999999,0.8174999999999999,0.8282261741906065
57,Aucune,cosinus,0.0041,-,0.8871249999999999,0.8174999999999999,0.8282261741906065
57,Aucune,cosinus,0.0031,-,0.8871249999999999,0.8174999999999999,0.8282261741906065
57,Aucune,cosinus,0.0023,-,0.8871249999999999,0.8174999999999999,0.8282261741906065
57,Aucune,cosinus,0.0018,-,0.8871249999999999,0.8174999999999999,0.8282261741906065
57,Aucune,cosinus,0.0072,-,0.8871249999999999,0.8174999999999999,0.8282261741906065
57,Aucune,cosinus,0.0054,-,0.8871249999999999,0.8174999999999999,0.8282261741906065
57,Aucune,cosinus,0.0095,-,0.8871249999999999,0.8174999999999999,0.8282261741906065
57,Aucune,cosinus,0.0687,-,0.8871249999999999,0.8275,0.8342802486848399
67,Aucune,cosinus,0.0222,-,0.8870000000000001,0.8225000000000001,0.8322622377329283
68,Aucune,cosinus,0.0126,-,0.8868750000000001,0.8225,0.8336525307797539
69,Aucune,rbf,0.2812,-,0.8867500000000001,0.8100000000000002,0.8173888091822095
70,Aucune,cosinus,0.0168,-,0.8866250000000001,0.8175000000000001,0.8257811409319313
71,Aucune,rbf,0.16,-,0.8866249999999999,0.805,0.8097154471544716
72,Aucune,rbf,0.091,-,0.886125,0.7975,0.8007478695268879
73,Aucune,cosinus,1.1514,-,0.8860000000000001,0.825,0.8279389255616486
74,Aucune,linear,0.0041,-,0.88575,0.805,0.8237754530974213
74,Aucune,rbf,0.3728,-,0.88575,0.8075000000000001,0.8145583364330374
76,Aucune,cosinus,1.5264,-,0.8855000000000001,0.8225,0.8259406887118101
77,Aucune,cosinus,14.5635,-,0.885375,0.82,0.8229777257488473
77,Aucune,cosinus,6.2506,-,0.885375,0.82,0.8229777257488473
77,Aucune,cosinus,0.2121,-,0.885375,0.8275,0.8315110274251081
80,Aucune,cosinus,25.5955,-,0.8852500000000001,0.82,0.8229777257488473
80,Aucune,cosinus,33.9322,-,0.8852500000000001,0.82,0.8229777257488473
82,Aucune,cosinus,0.4942,-,0.8852499999999999,0.8200000000000001,0.8248123504470846
83,Aucune,cosinus,4.7149,-,0.885125,0.82,0.8229777257488473
83,Aucune,cosinus,184.207,-,0.885125,0.82,0.8229777257488473
83,Aucune,cosinus,104.8113,-,0.885125,0.82,0.8229777257488473
86,Aucune,cosinus,0.2812,-,0.885,0.825,0.8294634513937922
86,Aucune,cosinus,19.307,-,0.885,0.82,0.8229777257488473
86,Aucune,cosinus,244.2053,-,0.885,0.82,0.8229777257488473
86,Aucune,cosinus,59.6362,-,0.885,0.82,0.8229777257488473
86,Aucune,cosinus,10.9854,-,0.885,0.82,0.8229777257488473
86,Aucune,cosinus,138.9495,-,0.885,0.82,0.8229777257488473
86,Aucune,cosinus,79.0604,-,0.885,0.82,0.8229777257488473
86,Aucune,cosinus,44.9843,-,0.885,0.82,0.8229777257488473
94,Aucune,cosinus,2.0236,-,0.8848750000000001,0.8225,0.8259406887118101
94,Aucune,cosinus,3.5565,-,0.8848750000000001,0.82,0.8229777257488473
96,Aucune,cosinus,323.7458,-,0.8848749999999999,0.82,0.8229777257488473
96,Aucune,cosinus,8.2864,-,0.8848749999999999,0.82,0.8229777257488473
96,Aucune,cosinus,1000.0,-,0.8848749999999999,0.82,0.8229777257488473
99,Aucune,cosinus,0.3728,-,0.88475,0.8225,0.8267743757635401
99,Aucune,cosinus,754.312,-,0.88475,0.82,0.8229777257488473
99,Aucune,cosinus,429.1934,-,0.88475,0.8225,0.8257889707287671
99,Aucune,cosinus,568.9866,-,0.88475,0.82,0.8229777257488473
99,Aucune,rbf,0.4942,-,0.88475,0.8074999999999999,0.8154986831859026
104,Aucune,cosinus,2.6827,-,0.884625,0.8225,0.8259406887118101
105,Aucune,rbf,0.1207,-,0.8845000000000001,0.805,0.8107947598886966
106,Aucune,cosinus,0.6551,-,0.884375,0.8200000000000001,0.8248123504470846
107,Aucune,cosinus,0.8685,-,0.8838750000000001,0.82,0.8238945638328907
107,Aucune,rbf,0.0687,-,0.8838750000000001,0.8025,0.8055851873068068
109,Aucune,rbf,0.6551,-,0.883375,0.7999999999999999,0.8086768845952502
110,Aucune,rbf,0.0031,-,0.88325,0.8025,0.8087443852063305
110,Aucune,rbf,0.0041,-,0.88325,0.8025,0.8087443852063305
110,Aucune,rbf,0.0023,-,0.88325,0.8025,0.8087443852063305
110,Aucune,rbf,0.0013,-,0.88325,0.8025,0.8087443852063305
110,Aucune,rbf,0.0054,-,0.88325,0.8025,0.8087443852063305
110,Aucune,rbf,0.0072,-,0.88325,0.8025,0.8087443852063305
110,Aucune,rbf,0.0168,-,0.88325,0.8025,0.8087443852063305
110,Aucune,rbf,0.0222,-,0.88325,0.8025,0.8087443852063305
110,Aucune,rbf,0.0295,-,0.88325,0.8025,0.8087443852063305
110,Aucune,rbf,0.0095,-,0.88325,0.8025,0.8087443852063305
110,Aucune,rbf,0.0126,-,0.88325,0.8025,0.8087443852063305
110,Aucune,rbf,0.001,-,0.88325,0.8025,0.8087443852063305
110,Aucune,rbf,0.0018,-,0.88325,0.8025,0.8087443852063305
123,Aucune,rbf,0.0518,-,0.883,0.7975000000000001,0.7996214760848906
124,Aucune,rbf,0.0391,-,0.882875,0.7975,0.7994915979454131
125,Aucune,rbf,0.8685,-,0.8782499999999999,0.7925000000000001,0.8018466111459587
126,Aucune,rbf,1.1514,-,0.875625,0.79,0.799120067441067
127,Aucune,rbf,1.5264,-,0.8716250000000001,0.79,0.8000121182291725
128,Aucune,poly,0.0095,3.0,0.8711249999999999,0.5349999999999999,0.6805733176410618
129,Aucune,poly,0.0168,3.0,0.8710000000000001,0.5625,0.6925682435032184
130,Aucune,poly,0.0391,3.0,0.8703749999999999,0.6224999999999999,0.7209816517473209
131,Aucune,poly,0.0126,3.0,0.8702500000000001,0.5475,0.6853931441358967
132,Aucune,poly,0.0072,3.0,0.8696250000000001,0.53,0.6793344191778653
133,Aucune,poly,0.0295,3.0,0.8693750000000001,0.6074999999999999,0.7130985075377599
134,Aucune,poly,0.0518,3.0,0.869375,0.6649999999999999,0.7437371945727148
135,Aucune,poly,0.0222,3.0,0.8692500000000001,0.59,0.7051809394729748
136,Aucune,poly,0.0018,3.0,0.869125,0.5,0.14172719935431802
137,Aucune,poly,0.0023,3.0,0.8684999999999998,0.55,0.5995906368564915
138,Aucune,poly,0.0687,3.0,0.86775,0.6875,0.7569771357495546
139,Aucune,poly,0.0013,3.0,0.86725,0.495,0.13109243697478992
140,Aucune,poly,0.0031,3.0,0.866375,0.5225,0.6757651511802851
141,Aucune,poly,0.0054,3.0,0.86625,0.525,0.6769145764676414
142,Aucune,rbf,2.0236,-,0.866,0.7875,0.7950561949342437
143,Aucune,poly,0.0041,3.0,0.86575,0.5225,0.6757941282883697
144,Aucune,poly,0.001,3.0,0.865375,0.495,0.13109243697478992
145,Aucune,poly,0.1207,3.0,0.86425,0.7125,0.7689545338396664
146,Aucune,poly,0.091,3.0,0.8637499999999999,0.7124999999999999,0.7701861757612677
147,Aucune,poly,0.16,3.0,0.8628750000000001,0.7425,0.7868353407033579
148,Aucune,rbf,2.6827,-,0.8627499999999999,0.7875,0.7950561949342437
149,Aucune,poly,0.2121,3.0,0.8623749999999999,0.7675000000000001,0.8012092664781267
150,Aucune,poly,0.2812,3.0,0.858375,0.775,0.8011332272221926
151,Aucune,rbf,3.5565,-,0.8554999999999999,0.78,0.784236447578712
152,Aucune,poly,0.3728,3.0,0.8531249999999998,0.7875,0.8073101044609416
153,Aucune,rbf,4.7149,-,0.8483750000000001,0.775,0.7784161472916493
154,Aucune,poly,0.4942,3.0,0.8473750000000001,0.795,0.807010638201719
155,Aucune,poly,0.6551,3.0,0.844125,0.79,0.7953563368409604
156,Aucune,poly,0.8685,3.0,0.840625,0.78,0.7815769165980136
157,Aucune,poly,1.1514,3.0,0.8397500000000001,0.7749999999999999,0.7733182584280647
158,Aucune,rbf,6.2506,-,0.83775,0.78,0.7822805920366896
159,Aucune,poly,1.5264,3.0,0.83725,0.7725,0.770342909123397
160,Aucune,poly,2.0236,3.0,0.834125,0.7725,0.7726817903804888
161,Aucune,rbf,8.2864,-,0.8305,0.7700000000000001,0.7721299881215538
162,Aucune,poly,2.6827,3.0,0.827875,0.77,0.7706530660198992
163,Aucune,poly,3.5565,3.0,0.8248750000000001,0.78,0.7798468510704797
164,Aucune,poly,6.2506,3.0,0.8245000000000001,0.7725,0.7682393555811278
165,Aucune,rbf,10.9854,-,0.8243750000000001,0.765,0.765657964752881
166,Aucune,poly,4.7149,3.0,0.8241249999999999,0.7750000000000001,0.77139092974536
167,Aucune,poly,8.2864,3.0,0.823625,0.775,0.7738607594936708
168,Aucune,poly,10.9854,3.0,0.8225,0.775,0.773741690408357
169,Aucune,poly,14.5635,3.0,0.8217500000000001,0.7575000000000001,0.7513462655487972
170,Aucune,rbf,14.5635,-,0.8210000000000001,0.7575000000000001,0.7599007950760326
171,Aucune,poly,19.307,3.0,0.8205,0.7575,0.7523891490808607
172,Aucune,poly,25.5955,3.0,0.8167500000000001,0.765,0.766008468463655
173,Aucune,rbf,19.307,-,0.814625,0.76,0.760506083515193
174,Aucune,rbf,25.5955,-,0.8107500000000002,0.765,0.7649753038213662
175,Aucune,rbf,33.9322,-,0.8085000000000001,0.7575000000000001,0.7606094528007933
176,Aucune,poly,33.9322,3.0,0.8082499999999999,0.7649999999999999,0.7649714256636683
177,Aucune,poly,44.9843,3.0,0.8067500000000001,0.76,0.7610775812640584
178,Aucune,rbf,44.9843,-,0.8066249999999998,0.7475,0.7506479544581498
179,Aucune,poly,59.6362,3.0,0.80475,0.755,0.7584917721898108
180,Aucune,rbf,59.6362,-,0.8025,0.74,0.740284166766493
181,Aucune,poly,79.0604,3.0,0.8008749999999999,0.7525000000000001,0.7566075310958287
182,Aucune,poly,184.207,3.0,0.799625,0.7575000000000001,0.7608172276347416
182,Aucune,rbf,79.0604,-,0.799625,0.7375,0.7362282548075122
184,Aucune,poly,104.8113,3.0,0.797625,0.7474999999999999,0.7494100514438117
185,Aucune,poly,244.2053,3.0,0.796625,0.7525,0.7531437989857033
186,Aucune,poly,138.9495,3.0,0.795875,0.7575000000000001,0.7605121318866079
187,Aucune,rbf,104.8113,-,0.7905,0.7324999999999999,0.7325371712581694
188,Aucune,poly,323.7458,3.0,0.7883749999999999,0.7424999999999999,0.7448506737793554
189,Aucune,rbf,138.9495,-,0.7866249999999999,0.7175,0.7165071681788275
190,Aucune,rbf,184.207,-,0.786125,0.71,0.7085336675470517
191,Aucune,rbf,244.2053,-,0.784,0.7224999999999999,0.7193237026995124
192,Aucune,poly,429.1934,3.0,0.782875,0.7375,0.738691384408684
193,Aucune,poly,1000.0,3.0,0.78225,0.7375,0.7365629015422162
194,Aucune,poly,568.9866,3.0,0.7809999999999999,0.735,0.7355471602118282
195,Aucune,rbf,323.7458,-,0.780625,0.71,0.7101533124788938
196,Aucune,poly,754.312,3.0,0.7806249999999999,0.74,0.7374341370764135
197,Aucune,rbf,568.9866,-,0.780125,0.7100000000000001,0.7108119781520479
198,Aucune,rbf,429.1934,-,0.779125,0.7125,0.7138953589391817
199,Aucune,rbf,754.312,-,0.778875,0.7150000000000001,0.7122905561347906
200,Aucune,rbf,1000.0,-,0.77725,0.7150000000000001,0.715519909318359
201,Aucune,poly,323.7458,2.0,0.6685000000000001,0.6225,0.6673984530291246
202,Aucune,poly,754.312,2.0,0.6683749999999999,0.625,0.6700738916256157
203,Aucune,poly,1000.0,2.0,0.6682499999999999,0.625,0.6700738916256157
204,Aucune,poly,568.9866,2.0,0.6679999999999999,0.625,0.6700738916256157
205,Aucune,poly,429.1934,2.0,0.667375,0.625,0.6700738916256157
206,Aucune,poly,79.0604,2.0,0.665875,0.615,0.6586017115589783
207,Aucune,poly,104.8113,2.0,0.6657499999999998,0.6174999999999999,0.6614525887519608
208,Aucune,poly,138.9495,2.0,0.6656250000000001,0.615,0.6599613606817853
209,Aucune,poly,59.6362,2.0,0.66525,0.6174999999999999,0.6614525887519608
209,Aucune,poly,244.2053,2.0,0.66525,0.62,0.6644999023044869
211,Aucune,poly,184.207,2.0,0.6651250000000001,0.62,0.6644999023044869
212,Aucune,poly,44.9843,2.0,0.665125,0.6125,0.6571104834888029
213,Aucune,poly,25.5955,2.0,0.66425,0.6125,0.6557858166393291
214,Aucune,poly,33.9322,2.0,0.6635,0.6124999999999999,0.655690177404443
215,Aucune,poly,19.307,2.0,0.66125,0.62,0.6663056474858545
216,Aucune,poly,14.5635,2.0,0.6576250000000001,0.62,0.6631756891199615
217,Aucune,poly,3.5565,2.0,0.6568750000000001,0.5974999999999999,0.6501320005920058
218,Aucune,poly,10.9854,2.0,0.656625,0.6125,0.6573327163033045
219,Aucune,poly,8.2864,2.0,0.655375,0.6075,0.6530663131770045
220,Aucune,poly,6.2506,2.0,0.654875,0.6,0.6484767714155835
221,Aucune,poly,4.7149,2.0,0.654125,0.6025,0.6511710364330369
222,Aucune,poly,2.6827,2.0,0.651375,0.6,0.652965642960558
223,Aucune,poly,1.1514,2.0,0.6465000000000001,0.585,0.6548347628604964
224,Aucune,poly,1.5264,2.0,0.645875,0.585,0.64735481772433
225,Aucune,poly,2.0236,2.0,0.645375,0.5925,0.6480443344385809
226,Aucune,poly,0.6551,2.0,0.640125,0.5650000000000001,0.6539357864357865
226,Aucune,poly,0.8685,2.0,0.640125,0.58,0.6572522055103543
228,Aucune,poly,0.4942,2.0,0.6318750000000001,0.5574999999999999,0.6530765625271331
229,Aucune,poly,0.2812,2.0,0.62975,0.56,0.6706632052962329
230,Aucune,poly,0.3728,2.0,0.6278750000000001,0.5525,0.6575074314154105
231,Aucune,poly,0.2121,2.0,0.619625,0.5625,0.6779621034885546
232,Aucune,poly,0.16,2.0,0.604125,0.5599999999999999,0.680211521835804
233,Aucune,poly,0.091,2.0,0.598,0.5525,0.6857376439985134
234,Aucune,poly,0.1207,2.0,0.596875,0.5574999999999999,0.6869565217391304
235,Aucune,poly,0.0687,2.0,0.5894999999999999,0.545,0.685434301984651
236,Aucune,poly,0.0518,2.0,0.58775,0.5349999999999999,0.6805659462714614
237,Aucune,poly,0.0391,2.0,0.5822499999999999,0.5325,0.6805038344702191
238,Aucune,poly,0.0295,2.0,0.5715,0.53,0.6793344191778653
239,Aucune,poly,0.0054,2.0,0.5617500000000001,0.5,0.13333333333333333
240,Aucune,poly,0.0041,2.0,0.56175,0.5,0.13333333333333333
241,Aucune,poly,0.0013,2.0,0.5613750000000001,0.5,0.13333333333333333
241,Aucune,poly,0.001,2.0,0.5613750000000001,0.5,0.13333333333333333
241,Aucune,poly,0.0023,2.0,0.5613750000000001,0.5,0.13333333333333333
241,Aucune,poly,0.0018,2.0,0.5613750000000001,0.5,0.13333333333333333
245,Aucune,poly,0.0072,2.0,0.56125,0.5,0.13333333333333333
245,Aucune,poly,0.0031,2.0,0.56125,0.5,0.13333333333333333
247,Aucune,poly,0.0168,2.0,0.56,0.5275000000000001,0.6781039903065131
248,Aucune,poly,0.0095,2.0,0.55975,0.5299999999999999,0.28591563475284404
248,Aucune,poly,0.0126,2.0,0.55975,0.5475,0.6833799474531739
250,Aucune,poly,0.0222,2.0,0.559375,0.525,0.6769645514801351
